Item ID,Item Name,SKU,UPC,MPN,EAN,ISBN,Is Returnable Item,Brand,Manufacturer,Description,Rate,Account,Account Code,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Exemption Reason,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory,TrackSerialNumber,Enable Bin Tracking,Is Combo Product,TAG.Inventory Type,TAG.Trade Shows 2025,CF.Inventory Type
6212012000000428535,"16"" Digging Bar",16GR3.1 26A,,,,,true,GeoRipper,,,USD 83.99,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 14.85,GeoRipper - Part,5100,,Finished Goods,1210,fifo,200.00,Ordinance Engineering Pte Ltd,,,100.00,Inventory,true,true,true,false,false,false,,,
6212012000000428548,"20"" Digging Bar",20GR3.1,,,,,true,GeoRipper,,,USD 106.04,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 16.75,GeoRipper - Part,5100,,Finished Goods,1210,fifo,500.00,,,,933.00,Inventory,true,true,true,false,false,false,,,
6212012000000428561,"27"" Digging Bar",27GR3.1,,,,,true,GeoRipper,,Bar Only,USD 148.04,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 25.11,GeoRipper - Part,5100,,Finished Goods,1210,fifo,200.00,,,,658.00,Inventory,true,true,true,false,false,false,,,
6212012000000428574,GeoRipper(r)T/A Casting fits Echo CSG-7410,E1000,,,,,true,GeoRipper,,,USD 235.00,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,EA,,USD 57.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,75.00,Ordinance Engineering Pte Ltd,,,69.00,Inventory,true,true,true,false,false,false,,,
6212012000000428587,EZ Kart - Axle,EZ1.1,,,,,true,GeoRipper,,Finished Axle,USD 136.11,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,Unit,,USD 70.18,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,0.00,Inventory,true,true,true,false,false,false,,,
6212012000000428600,EZ Kart - Handle Spring,EZ1.10,,,,,true,GeoRipper,,,USD 9.33,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 3.50,GeoRipper - Part,5100,,Finished Goods,1210,fifo,500.00,,,,23.00,Inventory,true,true,true,false,false,false,,,
6212012000000428613,EZ Kart - Lower Handle (RAW),EZ1.2M,,,,,true,GeoRipper,,,USD 24.50,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 11.65,GeoRipper - Part,5100,"Drawing NO. EZ1.2(M/P)-19A file GRP07
Tubular Quote No. 47787 Part No. EZ1.2-19A
Labor & Material Mild Steel 1.00"" x .049
TO PRINT (DWG NO: EZ1.2(M/P)-19A - attached)
NO FINISH
MACHINED HOLES
DO NOT CRUSH - Pack Delicate",Finished Goods,1210,fifo,,,,,400.00,Inventory,true,true,true,false,false,false,,,
6212012000000428626,EZ Kart - Upper Handle (RAW),EZ1.3M,,,,,true,GeoRipper,,,USD 64.24,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 23.90,GeoRipper - Part,5100,"Drawing No. EZ1.3(M/P)-19A file GRPEZ 06
Tubular Quote No. 47787 Part No. EZ1.3-19A
Labor & Material Mild Steel .875"" x .065 wall
TO PRINT (DWG No. EZ1.3(M/P)-19A - attached)
NO FINISH
MACHINED HOLES
DO NOT CRUSH - Pack Delicate",Finished Goods,1210,fifo,,,,,400.00,Inventory,true,true,true,false,false,false,,,
6212012000000428639,EZ Kart - Wheel,EZ1.9,,,,,true,GeoRipper,,,USD 13.47,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 6.50,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,496.00,Inventory,true,true,true,false,false,false,,,
6212012000000428652,EZ Kart - Handle Grip,EZ2001,810075760583,,810075760583,,true,GeoRipper,MiniTrencher,,USD 6.50,GeoRipper - Parts,4100,0.12,1.50,1.50,5.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 0.98,GeoRipper - Part,5100,F&R Cycle part # 163-144,Finished Goods,1210,fifo,400.00,,,,512.00,Inventory,true,true,true,false,false,false,,,
